"","O","E","OoverE","Onull","Enull","OoverE.null","BC","BC.null","Type","Type","Means","Type.null","Means.null","ASCI","ASCI.null"
"000CAT148_8.10.10_1",7,8.01066750697162,0.873834795153831,8,8.67479674796748,0.922211808809747,0.206171316377059,0.178612059158134,"other","Reference",1.26838993438963,"Reference",1.26838993438963,1.07111236477173,1.09530087159969
"000CAT228_8.10.10_1",8,8.79165650208005,0.909953658688468,8,8.67479674796748,0.922211808809747,0.256813812323954,0.178612059158134,"other","Reference",1.16459416039089,"Reference",1.16459416039089,1.03727390953968,1.04340298460032
"102PS0139_8.9.10_1",8,8.17573431315027,0.978505378670682,8,8.67479674796748,0.922211808809747,0.149675467828937,0.178612059158134,"int","Intermediate",0.919722118659681,"Intermediate",0.919722118659681,0.949113748665182,0.920966963734714
"102PS0177_8.28.12_1",7,8.00339428460179,0.874628907570844,8,8.67479674796748,0.922211808809747,0.227512274747012,0.228343897285877,"rc","Reference",1.32909438358007,"Reference",1.32909438358007,1.10186164557546,1.12565309619491
"102PS0177_8.28.12_2",7,8.08329154302946,0.865983858523125,7,8.67479674796748,0.806935332708529,0.27416989652185,0.254840940525588,"other","Reference",1.32909438358007,"Reference",1.32909438358007,1.0975391210516,1.0680148581443
"103CDCHHR_9.14.10_1",8,7.54718836214069,1.05999739454374,8,8.67479674796748,0.922211808809747,0.16545676358778,0.178612059158134,"rc","Reference",0.842088007119488,"Reference",0.842088007119488,0.951042700831614,0.882149907964617
"103CDCHHR_9.14.10_2",7,7.61700172893773,0.918996771840857,9,8.67479674796748,1.03748828491097,0.142219578103019,0.154247163446795,"other","Reference",0.911692733747231,"Reference",0.911692733747231,0.915344752794044,0.974590509329101
"103FC1106_7.15.14_1",8,8.0953384339587,0.988223045307313,7,8.67479674796748,0.806935332708529,0.143934428807839,0.203665283540802,"other",NA,1.09926137021056,NA,1.09926137021056,1.04374220775894,0.953098351459545
"103FCA168_7.24.13_1",9,7.96329603526063,1.13018528510669,8,8.67479674796748,0.922211808809747,0.121716406232536,0.178612059158134,"int","Intermediate",0.965448346769754,"Intermediate",0.965448346769754,1.04781681593822,0.94383007778975
"103KLCMSR_9.14.10_1",9,8.97085889190033,1.00324841895863,9,8.67479674796748,1.03748828491097,0.216490968239047,0.188592456301748,"rc","Reference",0.886112900440231,"Reference",0.886112900440231,0.94468065969943,0.9618005926756
"103PS0217_9.10.13_1",10,7.77863180491371,1.28557312529988,10,8.67479674796748,1.15276476101218,0.124945958691396,0.134523291249456,"int","Intermediate",0.80163520110981,"Intermediate",0.80163520110981,1.04360416320484,0.977199981060995
"103RDCBCC_7.21.11_1",8,8.05793331352047,0.99281040047536,7,8.67479674796748,0.806935332708529,0.146941887113421,0.203665283540802,"int","Intermediate",0.795986059547396,"Intermediate",0.795986059547396,0.894398230011378,0.801460696127962
"103STCNSR_8.9.11_1",4,8.6352218327725,0.463219136400081,4,8.67479674796748,0.461105904404874,0.461790971157834,0.471883686123584,"rv","Reference",0.854476832267164,"Reference",0.854476832267164,0.658847984333622,0.657791368336019
"103WER026_8.15.12_1",6,7.80508871166288,0.768729251089024,8,8.67479674796748,0.922211808809747,0.190590809293529,0.188688444661141,"rc","Reference",0.995176719181129,"Reference",0.995176719181129,0.881952985135076,0.958694263995438
"103WER026_8.15.12_2",7,6.91701952780505,1.01199656468532,8,8.67479674796748,0.922211808809747,0.177733613602558,0.188688444661141,"other","Reference",0.991233834931148,"Reference",0.991233834931148,1.00161519980823,0.956722821870448
"103WER030_8.10.11_1",5,7.9300533227218,0.630512784280228,6,8.67479674796748,0.69165885660731,0.29223732933657,0.293813481071099,"rv","Reference",0.891487474223383,"Reference",0.891487474223383,0.761000129251805,0.791573165415347
"105BVCAGC_9.21.10_1",6,7.97386668290485,0.752458028030915,5,8.67479674796748,0.576382380506092,0.29165868845558,0.358699960364645,"rc","Reference",0.82046567547231,"Reference",0.82046567547231,0.786461851751612,0.698424027989201
"105CLCATC_8.10.10_1",8,7.76975231099628,1.02963385186396,9,8.67479674796748,1.03748828491097,0.163250990235543,0.167433302667893,"rc","Reference",0.941987732422593,"Reference",0.941987732422593,0.985810792143277,0.989738008666782
"105CR0901_7.23.14_1",9,9.75228539253144,0.922860605257968,9,8.67479674796748,1.03748828491097,0.242944787377942,0.191045691505673,"other",NA,1.25300761498862,NA,1.25300761498862,1.08793411012329,1.14524794994979
"105CR0901_8.11.14_1",13,9.75228539253144,1.33302087426151,11,8.67479674796748,1.2680412371134,0.142742346601131,0.118181818181818,"other",NA,1.00034782166514,NA,1.00034782166514,1.16668434796332,1.13419452938927
"105CR0906_8.12.14_1",12,9.74609858726566,1.23126191393952,11,8.67479674796748,1.2680412371134,0.164719038590876,0.118181818181818,"other",NA,1.26805837734226,NA,1.26805837734226,1.24966014564089,1.26804980722783
"105CR0908_7.22.14_1",11,9.52212439812686,1.15520439978329,10,8.67479674796748,1.15276476101218,0.184924941277111,0.134523291249456,"other",NA,0.994418920775878,NA,0.994418920775878,1.07481166027958,1.07359184089403
"105CR0913_8.12.14_1",10,8.72385768444722,1.14628188144654,10,8.67479674796748,1.15276476101218,0.174217423387155,0.175156000580467,"other",NA,1.1948011071225,NA,1.1948011071225,1.17054149428452,1.17378293406734
"105CR1004_7.23.14_1",8,9.75954354335254,0.819710467447937,8,8.67479674796748,0.922211808809747,0.306093889104454,0.248171623598245,"other",NA,0.93594296350804,NA,0.93594296350804,0.877826715477988,0.929077386158893
"105DLCDCC_10.20.09_1",9,8.95248772067267,1.00530715939633,9,8.67479674796748,1.03748828491097,0.224833072665549,0.188285801901257,"rc","Reference",1.18140347896316,"Reference",1.18140347896316,1.09335531917975,1.10944588193706
"105DLCDCC_5.19.09_1",10,9.64577340594908,1.036723503564,9,8.67479674796748,1.03748828491097,0.141286993998859,0.154247163446795,"other","Reference",1.30902412426161,"Reference",1.30902412426161,1.1728738139128,1.17325620458629
"105DLCDCC_6.23.09_1",10,9.64577340594908,1.036723503564,9,8.67479674796748,1.03748828491097,0.141286993998859,0.154247163446795,"other","Reference",1.33876907222204,"Reference",1.33876907222204,1.18774628789302,1.18812867856651
"105DLCDCC_8.5.09_1",10,9.64577340594908,1.036723503564,9,8.67479674796748,1.03748828491097,0.149596527637828,0.164980067463968,"other","Reference",1.09020266871391,"Reference",1.09020266871391,1.06346308613895,1.06384547681244
"105DLCDCC_9.15.09_1",9,9.64577340594908,0.933051153207601,8,8.67479674796748,0.922211808809747,0.188659132479046,0.212741751990899,"other","Reference",0.962130012598726,"Reference",0.962130012598726,0.947590582903163,0.942170910704236
"105FC1116_8.5.14_1",9,13.6365239045819,0.659992243109402,8,8.67479674796748,0.922211808809747,0.311532682849261,0.224768405655778,"other",NA,1.12501103198194,NA,1.12501103198194,0.892501637545671,1.02361142039584
"105FC1120_7.30.14_1",12,10.3402330343076,1.16051543134333,10,8.67479674796748,1.15276476101218,0.132707617156858,0.135974459439849,"other",NA,1.11508508301141,NA,1.11508508301141,1.13780025717737,1.1339249220118
