"","hydro","bio","Condition"
"98",2,0.25363094,0
"203",-26,0.27648349,0
"37",-4.5,0.35582777,0
"61",-27,0.38120784,0
"201",-29,0.43670957,0
"99",-21,0.43914537,0
"199",-0.5,0.45004569,0
"200",-20.5,0.49038395,0
"195",-6,0.50203231,0
"221",-27,0.51004389,0
"35",0,0.51029031,0
"255",-28,0.51139814,0
"175",-27,0.51458513,0
"300",-8,0.52626722,0
"348",-25,0.53897512,0
"302",-14.5,0.54564553,0
"386",0,0.554811,0
"205",-47,0.55965967,0
"310",-27,0.56092371,0
"80",-19,0.56885714,0
"236",-30,0.57818974,0
"102",-13,0.5790054,0
"307",-61,0.58432304,0
"274",-63,0.5851857,0
"241",-13,0.59625569,0
"222",0,0.60137346,0
"73",-19.5,0.60426322,0
"100",-9,0.60665192,0
"384",0,0.6069942,0
"192",-26,0.61035666,0
"289",-12,0.61364804,0
"39",-61,0.61555212,0
"359",0,0.64431266,0
"212",-34,0.64702057,0
"174",-27,0.65446951,0
"357",-13,0.65661897,0
"202",-7,0.65998032,0
"101",-13,0.6601853,0
"248",-8,0.66341859,0
"135",-47,0.66378652,0
"15",-42,0.66768291,0
"249",-59,0.66822034,0
"38",0,0.66845129,0
"132",0,0.67093594,0
"380",-0.5,0.67651281,0
"256",-9,0.67868323,0
"220",-47,0.68284466,0
"235",-33,0.69219839,0
"240",-38,0.69224343,0
"233",-8,0.70290087,0
"149",-0.5,0.70484419,0
"53",0,0.71636204,0
"228",-28,0.72245968,0
"371",0,0.73285566,0
"317",-7,0.7510035,0
"103",0,0.75573503,0
"213",-1,0.76260127,0
"292",-27,0.76741067,0
"265",-9,0.77588195,0
"197",-1,0.77938373,0
"209",0,0.78378935,0
"349",-12,0.80710135,1
"185",-9,0.81475321,1
"247",-28,0.82145675,1
"28",0,0.82832065,1
"287",0,0.83544561,1
"342",0,0.8365546,1
"230",0,0.84277761,1
"17",0,0.85018692,1
"284",-9,0.85521151,1
"328",0,0.85564589,1
"218",0,0.86731796,1
"5",0,0.87864121,1
"181",-2.5,0.87929304,1
"278",-61,0.8815387,1
"305",-1,0.88288755,1
"105",-1.5,0.88518212,1
"128",0,0.89250403,1
"353",-20,0.90150652,1
"25",-8,0.90286736,1
"304",0,0.90650611,1
"19",0,0.91064,1
"208",0,0.91430341,1
"191",-44,0.91978621,1
"24",-3.5,0.92141272,1
"271",0,0.92244845,1
"298",-2,0.92962258,1
"43",0,0.93616124,1
"251",3,0.9364029,1
"225",0,0.94167603,1
"137",-0.5,0.94997187,1
"129",0,0.95649537,1
"330",0,0.9686956,1
"156",0,0.97304935,1
"186",0,0.97853209,1
"176",0,0.98080398,1
"45",-22.5,0.98662198,1
"124",-1,0.99779787,1
"214",-1,0.99823018,1
"207",0,1.00026591,1
"46",0,1.00177025,1
"297",-61,1.0031734,1
"33",0,1.01059794,1
"345",0,1.01627269,1
"204",0,1.01782875,1
"312",0,1.01788844,1
"40",-61,1.02242257,1
"144",0,1.03004025,1
"22",0,1.04279807,1
"167",-2,1.05482853,1
"276",0,1.07245343,1
"32",0,1.07551273,1
"198",0,1.08557851,1
"177",0,1.0860095,1
"148",-3,1.08652166,1
"147",0,1.09853885,1
"319",0,1.10368672,1
"41",0,1.11820526,1
"34",0,1.12014835,1
"52",0,1.14948621,1
"116",0,1.17880233,1
"87",0,1.18450635,1
"125",-1,1.1904579,1
"211",-1,1.19354708,1
"159",0,1.20608577,1
"14",0,1.21595066,1
"50",0,1.24029364,1
