"","hydro","bio","Condition"
"245",0,0.183599139,0
"184",-164,0.201374381,0
"9",-19.5,0.245344854,0
"29",-32.5,0.251518107,0
"99",15,0.261586052,0
"186",-73.5,0.267087101,0
"65",-27,0.278322752,0
"50",-24,0.288398205,0
"46",-65.5,0.298511551,0
"105",10,0.315296325,0
"43",-15,0.321536142,0
"193",-98,0.323600257,0
"159",-59,0.324768515,0
"269",22,0.325978447,0
"254",0,0.336326202,0
"216",-69,0.341042086,0
"30",-28.5,0.342753702,0
"68",-19,0.343163724,0
"199",-19.5,0.356140553,0
"182",-27.5,0.36004191,0
"64",83,0.361245042,0
"214",-91,0.36326712,0
"73",0,0.363667656,0
"40",-12.5,0.373333871,0
"35",-32.5,0.378159997,0
"176",20,0.378943272,0
"166",28,0.383360503,0
"160",28,0.383948062,0
"85",-37,0.387716525,0
"179",43,0.401136144,0
"118",-2,0.405851308,0
"170",-78,0.414811914,0
"198",-19.5,0.415713181,0
"79",-66,0.418259879,0
"10",-12.5,0.421878671,0
"62",-142,0.423718824,0
"177",34,0.42624533,0
"41",-21,0.428708937,0
"146",-8,0.430074926,0
"63",0,0.431080768,0
"194",-12,0.431632994,0
"144",-186,0.437732284,0
"117",-5,0.437914084,0
"98",18.5,0.440242596,0
"164",-1.5,0.440769759,0
"86",-12,0.446283848,0
"258",-60,0.450239728,0
"151",-17.5,0.452239,0
"241",-277,0.452343753,0
"100",-110.5,0.45750017,0
"77",-29,0.457976923,0
"195",-18,0.458144986,0
"267",-63,0.459240972,0
"157",35,0.460951692,0
"58",-18.5,0.463317285,0
"255",14,0.463611392,0
"96",-9,0.464507671,0
"53",-1,0.468617825,0
"32",-1.5,0.468643546,0
"181",-167,0.471600347,0
"135",-123,0.472861687,0
"88",15,0.483365473,0
"45",-6,0.484253114,0
"61",-13.5,0.486417705,0
"154",-8,0.487045118,0
"165",-5,0.487393908,0
"87",-26,0.48943528,0
"270",0,0.494128919,0
"188",-17.5,0.499100256,0
"201",15,0.50064259,0
"111",-45,0.501764249,0
"52",-5,0.506118169,0
"80",-185,0.509525634,0
"84",-123.5,0.509890251,0
"28",-37,0.511033603,0
"74",-168.5,0.511329712,0
