"","hydro","bio","Condition"
"232",0,0,0
"99",0.005,0.115593348,0
"261",0.375,0.129140014,0
"245",0,0.14852693,0
"271",0,0.153000175,0
"50",0,0.218268008,0
"214",-0.705,0.224473287,0
"184",0.26,0.232589261,0
"43",0.05,0.234293392,0
"269",-0.045,0.244430928,0
"193",-1.455,0.256384709,0
"164",-5.235,0.256491183,0
"46",-0.225,0.338965497,0
"216",-0.22,0.338965497,0
"170",0.09,0.33917505,0
"186",-2.26,0.33970974,0
"79",0,0.358334771,0
"207",0,0.35944321,0
"9",2.4,0.37853781,0
"30",0,0.383239623,0
"176",-4.37,0.38473878,0
"212",0,0.393207914,0
"205",0,0.425809941,0
"85",0,0.431699651,0
"234",0,0.437306524,0
"41",0,0.444357593,0
"250",-0.005,0.445746318,0
"211",0.1,0.446046457,0
"237",0,0.450027175,0
"118",0,0.450679454,0
"159",0,0.454375503,0
"87",0,0.474645402,0
"266",0,0.479781403,0
"166",-0.215,0.497516271,0
"203",-0.02,0.509282964,0
"227",0,0.510172947,0
"231",0,0.510239425,0
"29",-12.17,0.513006828,0
"165",0,0.5137712,0
"65",0,0.513906759,0
"58",0.195,0.516031075,0
"105",-5.855,0.517270653,0
"35",0,0.52730343,0
"126",0.01,0.528422196,0
"265",0.1,0.538223594,0
"13",1.42,0.542260268,0
"96",0,0.555804673,0
"199",2.22,0.560464398,0
"258",0.06,0.560708927,0
"270",0,0.564827745,0
"110",0,0.567199849,0
"179",0.38,0.577292698,0
"235",0,0.578582584,0
"160",-0.14,0.584840066,0
"268",0.06,0.591612609,0
"117",0.02,0.597910067,0
"14",-3.45,0.613777159,0
"167",-1.03,0.619380653,0
"62",-3.43,0.622019238,0
"246",0,0.625512227,0
"195",0.53,0.629369926,0
"135",-0.16,0.639941915,0
"206",-0.05,0.640058725,0
"84",-0.2,0.643112823,0
"107",-0.21,0.645934774,0
"72",0,0.647990348,0
"133",0.03,0.648159101,0
"220",0,0.651256442,0
"273",0,0.655355924,0
"154",0,0.657182762,0
"144",0.07,0.657312117,0
"95",0,0.657952035,0
"146",0.06,0.660999668,0
"255",0,0.666797341,0
"80",-1.38,0.668371896,0
"215",0,0.670153014,0
"208",0.06,0.67331621,0
"82",0,0.673523331,0
"89",-1.48,0.676875129,0
"239",0,0.678607269,0
"86",1.315,0.67890659,0
"259",-0.07,0.678969714,0
"177",-0.12,0.6801308,0
"101",0,0.687994522,0
"272",0,0.695482082,0
"251",0,0.696028377,0
"77",-0.01,0.699027832,0
"53",-0.04,0.706004476,0
"7",-0.02,0.706332608,0
"218",0.1,0.707169226,0
"230",-0.035,0.711177602,0
"151",-0.19,0.712893228,0
"32",-6.675,0.723073189,0
"40",0,0.725270028,0
"198",2.425,0.727957328,0
"221",0,0.729467818,0
"147",-0.17,0.733588772,0
"264",0.14,0.739513354,0
"31",0,0.757236396,1
"148",0,0.760809435,1
"100",-0.215,0.76270814,1
"233",0,0.763182783,1
"181",0.09,0.763749026,1
"256",0,0.764769095,1
"182",0.005,0.76557106,1
"56",0,0.765754015,1
"63",-0.07,0.772235524,1
"119",-0.05,0.775013382,1
"254",0,0.776131115,1
"12",0,0.777623756,1
"260",0,0.778943228,1
"157",-0.08,0.782600603,1
"210",0,0.782669234,1
"130",-0.005,0.782740399,1
"48",0,0.784739638,1
"194",0,0.786869135,1
"267",0.01,0.786942768,1
"161",0.14,0.788491753,1
"111",0.01,0.789278567,1
"42",-0.005,0.789535937,1
"52",-0.99,0.797682095,1
"67",-0.015,0.801513325,1
"98",0,0.805000641,1
"69",0,0.810956433,1
"90",0.225,0.811309397,1
"97",-8.71,0.824669024,1
"88",0.005,0.831100835,1
"39",-0.01,0.83374274,1
"76",0,0.835844727,1
"28",0,0.83622953,1
"140",-2.71,0.841807591,1
"81",0.33,0.843264207,1
"188",0,0.843299207,1
"22",0,0.847270181,1
"113",-0.345,0.850225668,1
"10",0.21,0.856065144,1
"45",0,0.859490192,1
"74",-0.03,0.865521978,1
"224",0,0.866489314,1
"238",0.1,0.86713425,1
"200",0,0.867271051,1
"33",0,0.868997721,1
"131",0,0.872294378,1
"175",0,0.877566481,1
"61",0,0.878579603,1
"253",0,0.880149457,1
"145",-0.29,0.886335386,1
"197",0.14,0.892516117,1
"241",0.23,0.892596367,1
"114",-0.03,0.89661147,1
"71",-0.07,0.900984067,1
"153",0,0.904574803,1
"70",0,0.90734173,1
"136",-0.005,0.911586085,1
"25",-0.86,0.912419114,1
"91",0,0.914043167,1
"155",0.01,0.920559985,1
"49",-0.065,0.925608641,1
"228",0,0.930693268,1
"158",0,0.932918475,1
"83",0,0.934783777,1
"225",0,0.935988592,1
"123",-2.47,0.941029237,1
"73",0,0.953862683,1
"5",0.28,0.954074895,1
"102",0.005,0.966563298,1
"149",-0.24,0.967340652,1
"213",0,0.973174515,1
"37",-0.13,0.973645324,1
"104",0,0.975674598,1
"172",0.42,0.979407792,1
"185",-0.02,0.979781664,1
