"","hydro","bio","Condition"
"382",-8,0,0
"258",-43,0.12843705,0
"399",-57,0.12914001,0
"407",-6,0.1529985,0
"210",-51.5,0.20542871,0
"365",-116,0.22448387,0
"203",-45,0.23429339,0
"338",81,0.24551089,0
"346",-52,0.25638837,0
"321",-20,0.2568856,0
"98",-40,0.266129,0
"37",-1,0.33377852,0
"206",-83,0.3389655,0
"367",-99.5,0.3389655,0
"238",-12,0.35812668,0
"358",-77,0.35944321,0
"322",-4,0.38244883,0
"340",26,0.38458256,0
"320",-86,0.38473677,0
"332",12,0.38473878,0
"88",-38,0.38989811,0
"363",0,0.39320791,0
"190",-63.5,0.39645478,0
"244",-81,0.39806072,0
"112",-116,0.39845887,0
"179",0,0.40431592,0
"90",-38,0.42151147,0
"35",0,0.42262585,0
"356",0,0.42581508,0
"61",-50,0.42953167,0
"384",0,0.43721671,0
"362",12,0.43860735,0
"227",-54.5,0.43924677,0
"201",-63,0.44435759,0
"275",-77,0.44491679,0
"89",1,0.44813332,0
"386",0,0.45002717,0
"77",-18,0.45160413,0
"67",-19,0.45596072,0
"404",-38,0.47978956,0
"326",76,0.48636422,0
"354",0,0.49493697,0
"92",-52.5,0.49921918,0
"26",0,0.50063777,0
"189",-12,0.50659424,0
"199",-21,0.50749558,0
"334",43,0.50994226,0
"402",70,0.51000921,0
"381",-2,0.51023943,0
"377",-5,0.51029346,0
"315",-38,0.51117244,0
"175",-2,0.51148097,0
"224",-91.5,0.51395308,0
"72",-21,0.54496177,0
"283",-53.5,0.56215127,0
"403",12,0.5622131,0
"200",-28,0.56409891,0
"395",0,0.56445899,0
"255",-35.5,0.56476926,0
"406",0,0.56482775,0
"133",-59,0.56525695,0
"397",0,0.57176397,0
"96",-212,0.57194799,0
"97",-104.5,0.57245645,0
"267",-81,0.5736453,0
"408",0,0.5795684,0
"405",0,0.58024666,0
"68",-55,0.58140572,0
"99",-3,0.58420235,0
"62",-82,0.58896347,0
"109",0,0.58976735,0
"393",-1,0.59386859,0
"221",-1.5,0.59636896,0
"64",-16,0.60294547,0
"316",-4.5,0.60391094,0
"195",-34.5,0.60644694,0
"300",37.5,0.60786481,0
"63",-80,0.60968734,0
"73",-31,0.61217202,0
"75",-74,0.61386252,0
"348",-70,0.61506606,0
"11",0,0.61621207,0
"80",-34.5,0.61848048,0
"254",-81,0.61926361,0
"76",-9,0.62048115,0
"122",0,0.62480521,0
"389",-1,0.62551223,0
"323",-3,0.62590045,0
"38",0,0.6328693,0
"310",-49.5,0.63452129,0
"246",-45,0.63499858,0
"289",6,0.63519592,0
"357",67,0.64005872,0
"39",0,0.64045402,0
"91",-79,0.6407612,0
"243",-51,0.64311282,0
"231",-62,0.64799035,0
"378",40.5,0.65036397,0
"371",-1,0.65141167,0
"409",-8,0.65536081,0
"79",-19,0.65591767,0
"123",66,0.65599068,0
"302",-27,0.66097717,0
"59",-60,0.66784033,0
"239",-0.5,0.6683719,0
"260",-65,0.67000537,0
"366",0,0.67015301,0
"333",-1,0.6730461,0
"359",-8,0.67321659,0
"241",-47.5,0.67352333,0
"385",-1,0.67421868,0
"188",-39,0.68350335,0
"95",-80,0.68520605,0
"245",-50,0.69113914,0
"394",-1,0.69602838,0
"388",-1,0.69998073,0
"53",-2,0.7016109,0
"236",-74.5,0.70428368,0
"270",-78.5,0.70731384,0
"372",-46,0.70887591,0
"380",0,0.71113,0
"307",-60.5,0.71737683,0
"360",0,0.72423025,0
"274",-48,0.72603365,0
"248",-5.5,0.72895302,0
"102",-20,0.72943747,0
"369",12,0.72949256,0
"192",15,0.72958736,0
"94",0,0.73202817,0
"205",-37,0.73483131,0
"82",-50,0.74064526,0
"100",10,0.74091358,0
"264",-50.5,0.74282499,0
"240",-34.5,0.74743873,0
"78",-76,0.75093391,0
"15",-3,0.75197227,0
"303",-52,0.75931819,1
"101",-54,0.761421,1
"259",-85,0.76269697,1
"383",-3,0.76318594,1
"396",-1,0.76467646,1
"287",0,0.76693639,1
"81",-22,0.76755326,1
"291",-75,0.7679303,1
"336",-11,0.77016709,1
"222",-1,0.7722652,1
"376",0,0.774353,1
"162",0,0.77761683,1
"337",-67,0.77772298,1
"70",-60,0.77847125,1
"392",-0.5,0.78042237,1
"132",26,0.78222348,1
"313",-7,0.78255939,1
"361",-3,0.78267257,1
"268",-70,0.78270125,1
"398",-8,0.78298411,1
"212",-8.5,0.78454047,1
"174",-56.5,0.78514768,1
"347",-81,0.78684234,1
"142",-1,0.78813251,1
"202",-38.5,0.78953594,1
"226",0,0.80009541,1
"74",-21,0.80328807,1
"30",0,0.80468203,1
"249",-12.5,0.8052997,1
"27",0,0.81519658,1
"257",-30.5,0.82903051,1
"25",-2,0.83594331,1
"13",-6,0.84225358,1
"256",10,0.8439972,1
