"","hydro","bio","Condition"
"382",0,0,0
"258",-1.6,0.12843705,0
"399",5.94,0.12914001,0
"407",0,0.1529985,0
"210",-0.985,0.20542871,0
"365",-1.28,0.22448387,0
"203",0.45,0.23429339,0
"338",-0.02,0.24551089,0
"346",-7.92,0.25638837,0
"321",0.4,0.2568856,0
"98",1.45,0.266129,0
"37",-0.365,0.33377852,0
"206",-0.26,0.3389655,0
"367",-0.22,0.3389655,0
"238",-0.7,0.35812668,0
"358",0.2,0.35944321,0
"322",-0.09,0.38244883,0
"340",-6.5,0.38458256,0
"320",-6.83,0.38473677,0
"332",-1.91,0.38473878,0
"88",0.04,0.38989811,0
"363",0,0.39320791,0
"190",0.03,0.39645478,0
"244",-0.07,0.39806072,0
"112",-1.28,0.39845887,0
"179",-0.04,0.40431592,0
"90",0.04,0.42151147,0
"35",-0.2,0.42262585,0
"356",-3.64,0.42581508,0
"61",-18.22,0.42953167,0
"384",0,0.43721671,0
"362",0,0.43860735,0
"227",-0.18,0.43924677,0
"201",-0.84,0.44435759,0
"275",0.2,0.44491679,0
"89",0,0.44813332,0
"386",-0.04,0.45002717,0
"77",-0.69,0.45160413,0
"67",-0.44,0.45596072,0
"404",0,0.47978956,0
"326",-2.41,0.48636422,0
"354",-0.02,0.49493697,0
"92",1.175,0.49921918,0
"26",0,0.50063777,0
"189",-11.45,0.50659424,0
"199",-0.64,0.50749558,0
"334",294.21,0.50994226,0
"402",266.74,0.51000921,0
"381",0,0.51023943,0
"377",0,0.51029346,0
"315",0.24,0.51117244,0
"175",-7.305,0.51148097,0
"224",0.02,0.51395308,0
"72",-0.68,0.54496177,0
"283",-1.605,0.56215127,0
"403",0,0.5622131,0
"200",-0.01,0.56409891,0
"395",-0.04,0.56445899,0
"255",-0.995,0.56476926,0
"406",0.03,0.56482775,0
"133",-0.02,0.56525695,0
"397",-0.06,0.57176397,0
"96",1.04,0.57194799,0
"97",0,0.57245645,0
"267",0.2,0.5736453,0
"408",0,0.5795684,0
"405",0.07,0.58024666,0
"68",0.785,0.58140572,0
"99",-0.425,0.58420235,0
"62",0.2,0.58896347,0
"109",-0.765,0.58976735,0
"393",0.035,0.59386859,0
"221",-6.27,0.59636896,0
"64",-0.69,0.60294547,0
"316",-0.11,0.60391094,0
"195",-0.08,0.60644694,0
"300",-1.605,0.60786481,0
"63",0.2,0.60968734,0
"73",4.09,0.61217202,0
"75",-0.69,0.61386252,0
"348",-34.07,0.61506606,0
"11",0,0.61621207,0
"80",0.23,0.61848048,0
"254",-0.67,0.61926361,0
"76",-0.68,0.62048115,0
"122",0,0.62480521,0
"389",-1.14,0.62551223,0
"323",-0.68,0.62590045,0
"38",-0.2,0.6328693,0
"310",-0.165,0.63452129,0
"246",-2.72,0.63499858,0
"289",-0.06,0.63519592,0
"357",-0.015,0.64005872,0
"39",-0.67,0.64045402,0
"91",7.18,0.6407612,0
"243",1.645,0.64311282,0
"231",-0.7,0.64799035,0
"378",5.71,0.65036397,0
"371",0,0.65141167,0
"409",0,0.65536081,0
"79",-0.68,0.65591767,0
"123",42.5,0.65599068,0
"302",0.43,0.66097717,0
"59",-0.7,0.66784033,0
"239",-2.185,0.6683719,0
"260",-0.7,0.67000537,0
"366",0,0.67015301,0
"333",-0.07,0.6730461,0
"359",0.62,0.67321659,0
"241",0.03,0.67352333,0
"385",0,0.67421868,0
"188",0.025,0.68350335,0
"95",13.96,0.68520605,0
"245",54.46,0.69113914,0
"394",0,0.69602838,0
"388",0,0.69998073,0
"53",1.5,0.7016109,0
"236",-1.855,0.70428368,0
"270",13.485,0.70731384,0
"372",0,0.70887591,0
"380",-0.055,0.71113,0
"307",-7.515,0.71737683,0
"360",0,0.72423025,0
"274",-3.87,0.72603365,0
"248",-0.39,0.72895302,0
"102",-6.75,0.72943747,0
"369",0,0.72949256,0
"192",-15.97,0.72958736,0
"94",-0.27,0.73202817,0
"205",-0.93,0.73483131,0
