"","hydro","bio","Condition"
"225",-5,0.34226235651775,0
"38",-26,0.378193568732447,0
"57",-123,0.419302847861815,0
"61",0,0.450768430182018,0
"170",-12,0.462401393992546,0
"234",34,0.494128023985806,0
"237",-167,0.495631223835118,0
"209",-126.5,0.522624284022243,0
"78",11.5,0.523741639068289,0
"165",-9,0.53875491814753,0
"221",28,0.544955568537334,0
"77",-2,0.546689118852535,0
"213",-17.5,0.546703624029695,0
"41",-14,0.558419327312541,0
"252",15,0.561370292024856,0
"146",-20,0.568295736100572,0
"110",-32.5,0.579925878194675,0
"241",-18,0.585480484386891,0
"198",-188,0.588794616964808,0
"105",-28.5,0.594899258685758,0
"152",-15.5,0.595695147775313,0
"150",-185,0.599513909498792,0
"46",-64,0.60262426008726,0
"148",0,0.605148784783245,0
"75",-38,0.608287087937881,0
"246",-98,0.615129908357861,0
"173",10,0.615664225985189,0
"49",-67,0.623241028610738,0
"106",1,0.631516226525879,0
"147",-29,0.634672646958127,0
"193",-19,0.63717887691109,0
"104",-32.5,0.640245475494223,0
"157",-26,0.641554353016455,0
"194",-192,0.64249462511373,0
"166",11.5,0.642747423073889,0
"169",-110.5,0.643837952060089,0
"132",-4,0.648072048019417,0
"140",-19,0.656018127298068,0
"181",-123,0.658290712763958,0
"34",-52,0.665264356721915,0
"83",-2,0.665988853043533,0
"48",-71,0.666605418320789,0
"240",-73.5,0.667312413755526,0
"64",88,0.667389557209886,0
"124",-24,0.67146245702737,0
"154",-123.5,0.677544074620638,0
"121",-65.5,0.67965147925043,0
"50",-61,0.68052901182696,0
"178",-69,0.686774003884454,0
"2",-5,0.689047363957553,0
"115",-12.5,0.68990199649865,0
"145",-168.5,0.692436292962612,0
"199",-123,0.694452050701905,0
"143",0,0.696025260701394,0
"29",-2,0.69653247493888,0
"160",-8,0.703261418697267,0
"118",-15,0.703823885914651,0
"129",-64,0.705541104910127,0
"185",-5,0.707053175211892,0
"73",-34,0.708077852893586,0
"63",-93,0.710587361976341,0
"228",0,0.716512505489145,0
"44",-33,0.723756051560621,0
"134",-13.5,0.724407967785592,0
"208",-7.5,0.724581898285668,0
"5",-5,0.724642190199785,0
"187",-1,0.725554471594319,0
"226",28,0.726289040931414,0
"47",-71,0.728459564003424,0
"39",-93,0.728900243172541,0
"4",-36,0.734552966539611,0
"222",-64,0.742684380224028,0
"130",-1,0.743664472121911,0
"204",-76,0.750191484670754,0
"151",-7.5,0.753659463691815,0
"42",-72,0.755722191430936,0
"235",43,0.755728071610213,0
"137",-27,0.756087299020959,0
"131",-18.5,0.757187793130469,0
"107",-1.5,0.757761593543978,0
"167",18.5,0.757795837430229,0
"128",-1,0.760249926569419,0
"30",-53,0.761569763684936,0
"158",15,0.762332273928096,0
"117",24,0.764970908538783,0
"56",-123.5,0.770021836074193,0
"97",-1,0.770399987562743,0
"238",-27.5,0.771261125269484,0
"214",-196,0.773265598239012,0
"190",-49,0.77405248218109,0
"100",-14,0.776865487882761,0
"175",-124,0.777392510915912,0
"127",-1,0.779883823711368,0
"54",0,0.78285890239181,0
"155",-37,0.784830414552132,0
"162",-44,0.787469784900835,0
"40",-8,0.791209312582331,0
"233",20,0.791794570590697,0
"36",-1,0.791814325412526,0
"207",-186,0.791963809954699,0
"101",-15,0.80305034384295,0
"135",-142,0.803720075740531,0
"58",0,0.804507885181787,0
"248",55.5,0.805516741081928,0
"216",-8,0.805758342806697,0
"90",-2,0.806386640920411,0
"80",-6,0.806492534680651,0
"45",-43,0.812442361073054,0
"55",-53,0.816917679855192,0
"156",-12,0.81703279700362,0
"159",18.5,0.8187730422623,0
"74",0,0.821430245630919,0
"255",-6,0.824147476595201,0
"52",-72,0.824569013858224,0
"163",0,0.82472705381548,0
"256",0,0.825396334558532,0
"168",15,0.826969588125352,0
"215",0,0.827393734961083,0
"65",12,0.834397960767642,1
"230",-68,0.835092529886978,1
"114",-9.5,0.838394233369554,1
"184",-3,0.839073178890033,1
"136",0,0.842953536202074,1
"113",0,0.847945331199099,1
"144",0,0.848542095548107,1
"16",-42,0.848948027713861,1
"176",-46.5,0.853822767185208,1
"219",35,0.859873376867544,1
"35",-3,0.860388787203921,1
"249",-19.5,0.860487838504552,1
"116",-21,0.861830584197613,1
"188",-44,0.865474075567611,1
"37",-53,0.8654817047501,1
"247",69,0.866086933701864,1
"92",0,0.867913167267727,1
"126",-5,0.868931699586731,1
"253",-1,0.872305188941151,1
"133",0,0.87304277413387,1
"142",0,0.882911077552599,1
"243",0,0.883649222733734,1
"15",0,0.883711597101036,1
"242",0,0.885079170805295,1
"203",-2,0.886038553815529,1
"220",-59,0.88839813961275,1
"6",0,0.889281969986212,1
"257",0,0.889509926404251,1
"59",0,0.890949895223727,1
"200",43.5,0.89177759043558,1
"27",-53,0.894430220334456,1
"62",0,0.897522274616378,1
"123",-2,0.898362348375382,1
"119",0,0.899930991908805,1
"24",0,0.900357628478336,1
"177",2,0.900412154236906,1
"179",-45,0.902659608855255,1
"33",-50,0.90333629863453,1
"149",-66,0.907200707532355,1
"43",-66,0.907533027792182,1
"51",-4,0.909275646063046,1
"72",-2,0.910131610347115,1
"244",0,0.910188035355141,1
"111",0,0.910308274213841,1
"22",-1,0.911650582155054,1
"53",-7.5,0.91444657063538,1
"195",-1,0.915087907823859,1
"93",-41,0.915244492227677,1
