"","hydro","bio","Condition"
"225",-5,0.416855798305318,0
"38",-26,0.46978865757702,0
"57",-123,0.469949185159724,0
"221",28,0.532817336807821,0
"209",-126.5,0.553335869345324,0
"26",-2,0.57586184403499,0
"252",15,0.578028563503636,0
"170",-12,0.580878784364916,0
"198",-188,0.593157292294918,0
"41",-14,0.599550680801368,0
"110",-32.5,0.621832067042874,0
"105",-28.5,0.622218238285595,0
"49",-67,0.626479071713201,0
"77",-2,0.627421459825934,0
"132",-4,0.629770843389088,0
"165",-9,0.631401906811726,0
"157",-26,0.632717706278211,0
"234",34,0.639291604088234,0
"78",11.5,0.641971579643983,0
"152",-15.5,0.649218387038254,0
"134",-13.5,0.652887400254996,0
"237",-167,0.658070025731605,0
"147",-29,0.674876816983828,0
"140",-19,0.675582922745924,0
"181",-123,0.675781540116861,0
"169",-110.5,0.678464347787106,0
"199",-123,0.682843199754902,0
"106",1,0.68440099745525,0
"100",-14,0.68608197793259,0
"146",-20,0.687713213832937,0
"61",0,0.690212458619473,0
"44",-33,0.699242278017576,0
"173",10,0.706881430761936,0
"240",-73.5,0.708374252575164,0
"48",-71,0.710781474655861,0
"248",55.5,0.714908281943337,0
"241",-18,0.722762346909785,0
"151",-7.5,0.724776194973547,0
"131",-18.5,0.727193860956016,0
"121",-65.5,0.72837597439637,0
"154",-123.5,0.730735642467281,0
"178",-69,0.730972321801151,0
"193",-19,0.731033109788378,0
"118",-15,0.731813030449814,0
"34",-52,0.732064996005289,0
"150",-185,0.732077181468783,0
"148",0,0.736055319887879,0
"167",18.5,0.736131189134834,0
"188",-44,0.738886500630804,0
"215",0,0.73990783090311,0
"208",-7.5,0.740923551118008,0
"115",-12.5,0.741559187974634,0
"207",-186,0.74255349876638,0
"233",20,0.747578110628291,0
"97",-1,0.749181738857226,0
"107",-1.5,0.752679186290404,0
"249",-19.5,0.754230548725489,0
"130",-1,0.756204344121424,0
"5",-5,0.75774485796455,0
"145",-168.5,0.761005330850016,0
"246",-98,0.762058855125884,0
"83",-2,0.762521085900233,0
"127",-1,0.76314901599103,0
"104",-32.5,0.766677909681255,0
"194",-192,0.766772282142082,0
"2",-5,0.770523763726926,0
"56",-123.5,0.772189951234987,0
"166",11.5,0.772655471780608,0
"162",-44,0.773748523725753,0
"73",-34,0.775781172127523,0
"42",-72,0.777567223204178,0
"230",-68,0.777611926010521,0
"46",-64,0.779371463857734,0
"175",-124,0.780408560609529,0
"29",-2,0.788440494174891,0
"50",-61,0.790725608578392,0
"213",-17.5,0.791874374854289,0
"160",-8,0.792407722797559,0
"54",0,0.793112103556046,0
"190",-49,0.793414728503772,0
"75",-38,0.795105666411142,0
"128",-1,0.799937416250231,0
"47",-71,0.802282705719157,0
"129",-64,0.803758547762029,0
"136",0,0.804590251501764,0
"155",-37,0.805606650105876,0
"226",28,0.80562858247334,0
"243",0,0.809700126079639,0
"242",0,0.813417970253198,0
"124",-24,0.814076459023214,0
"113",0,0.815964616326668,0
"64",88,0.817369804327727,0
"250",-19.5,0.818010006846543,0
"222",-64,0.818824117674583,0
"36",-1,0.819301320060456,0
"137",-27,0.827357678056549,0
"117",24,0.828955134661709,0
"247",69,0.829093628429112,0
"94",-15,0.831208123571377,1
"185",-5,0.83324298286704,1
"30",-53,0.833320320014322,1
"22",-1,0.838347827189442,1
"255",-6,0.838793357223162,1
"80",-6,0.839934740473913,1
"135",-142,0.846139379129629,1
"63",-93,0.846662089836739,1
"90",-2,0.846880511222289,1
"114",-9.5,0.84990363806511,1
"261",0,0.856867973176997,1
"59",0,0.857020479413794,1
"214",-196,0.857964316965895,1
"40",-8,0.864276485808981,1
"158",15,0.868679973985033,1
"143",0,0.871399923651783,1
"101",-15,0.872475891499767,1
"203",-2,0.874062249261721,1
"156",-12,0.874872751592612,1
"216",-8,0.878053557081803,1
"4",-36,0.879819819302056,1
"133",0,0.880072894445038,1
"253",-1,0.881699081087627,1
"187",-1,0.881800225428307,1
"67",-7,0.885508675971105,1
"228",0,0.886261224607983,1
"231",-4,0.886902110747546,1
"219",35,0.887330043301723,1
"103",-37,0.889209305944563,1
"260",0,0.893350862947051,1
"116",-21,0.893748771148643,1
"202",0,0.896252529638422,1
"238",-27.5,0.896948907617102,1
"16",-42,0.897137544387794,1
"195",-1,0.898028337333278,1
"184",-3,0.902228754229055,1
"229",-1,0.903023210260543,1
"177",2,0.903332211434079,1
"220",-59,0.90418379657321,1
"168",15,0.904257191898038,1
"236",0,0.904483102474857,1
"227",-70,0.904551860178005,1
"35",-3,0.905740471948883,1
"43",-66,0.90779658134555,1
"235",43,0.908166874720497,1
"176",-46.5,0.909180850690241,1
"27",-53,0.910670617170756,1
"144",0,0.91159848177224,1
"108",-2,0.912267384504134,1
"70",-19.5,0.917928793613263,1
"51",-4,0.919253926098909,1
"45",-43,0.922358835952698,1
"71",-30,0.924628025517457,1
"39",-93,0.928908258664161,1
"197",-2,0.929581054510517,1
"123",-2,0.929619749453269,1
"92",0,0.930729660412466,1
"159",18.5,0.9336125858724,1
"204",-76,0.936676892291386,1
"15",0,0.939851476462991,1
"10",-1,0.94012711921481,1
"257",0,0.941206825482137,1
"6",0,0.942866663418687,1
"53",-7.5,0.945784941402551,1
"93",-41,0.948031296028741,1
"223",0,0.95617896570933,1
"126",-5,0.959164076870717,1
"239",-5,0.95971774031936,1
"33",-50,0.965257217461825,1
"141",-9.5,0.967313380808069,1
"65",12,0.968438939765748,1
"55",-53,0.968709280349644,1
"217",0,0.969294200130765,1
"163",0,0.971728626184443,1
"37",-53,0.972012410455509,1
"95",-2,0.973727161927362,1
"212",-1,0.975762269432034,1
"109",0,0.976766376762853,1
"189",0,0.977152280811629,1
"82",0,0.978486847929198,1
"72",-2,0.979255008396468,1
"192",-24,0.980658495510678,1
"210",0,0.984024435609776,1
"196",0,0.984472983367993,1
"149",-66,0.986257560324414,1
"60",0,0.989988934185609,1
"139",0,0.995531793524775,1
"119",0,0.995707112560849,1
"171",-2,0.996851663293226,1
"111",0,0.997113028554266,1
"52",-72,1.00344850727098,1
"179",-45,1.0106899500065,1
"201",-10,1.0122358849396,1
"153",0,1.01880059130648,1
"206",-4,1.0215627888996,1
"18",0,1.02427979582436,1
"256",0,1.02671154806536,1
"191",-9,1.02685652055684,1
"186",0,1.02908248779986,1
"19",0,1.03355847273699,1
"218",0,1.03621553809837,1
"88",0,1.03899087174857,1
"142",0,1.04083631100267,1
"7",-2,1.04187943123373,1
"98",0,1.04285464109601,1
"28",-53,1.04468995990061,1
"205",0,1.04727559312064,1
"259",-13,1.04779758218861,1
"62",0,1.04881054720422,1
"58",0,1.04926920037699,1
"164",-2,1.04935947101364,1
"120",-6,1.05257509229275,1
"96",0,1.05458835526178,1
"172",0,1.05778277620568,1
"258",-7,1.05812922071791,1
"180",0,1.05814885074961,1
"112",-1,1.05976269010974,1
"12",0,1.06023694735084,1
"31",-53,1.06493047262694,1
"251",-4,1.06749425222619,1
"102",0,1.06809968252717,1
"84",-2,1.07059918323263,1
"232",0,1.072978745566,1
"138",0,1.07514190212594,1
"200",43.5,1.07894519542068,1
"1",0,1.08103711040174,1
"125",0,1.08249781678543,1
"211",-1,1.08284381916428,1
"14",-2,1.08405446290204,1
"122",0,1.08454751324586,1
"32",-53,1.09242031839243,1
"244",0,1.09553091706996,1
